Using cpu device
Logging to runs/ppo/ppo_phase1_exp007_progress_stable_2m_20k_20260626_155659/tensorboard/PPO_1
----------------------------
| time/              |     |
|    fps             | 5   |
|    iterations      | 1   |
|    time_elapsed    | 24  |
|    total_timesteps | 128 |
----------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -19.9        |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 5            |
|    iterations           | 2            |
|    time_elapsed         | 46           |
|    total_timesteps      | 256          |
| train/                  |              |
|    approx_kl            | 0.0019601528 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -0.769       |
|    explained_variance   | -0.0173      |
|    learning_rate        | 0.0001       |
|    loss                 | 1.21         |
|    n_updates            | 5            |
|    policy_gradient_loss | 0.00482      |
|    std                  | 1            |
|    value_loss           | 2.59         |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -19.9        |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 6            |
|    iterations           | 3            |
|    time_elapsed         | 59           |
|    total_timesteps      | 384          |
| train/                  |              |
|    approx_kl            | 0.0008008429 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -4.19        |
|    explained_variance   | -0.0187      |
|    learning_rate        | 0.0001       |
|    loss                 | 13.9         |
|    n_updates            | 10           |
|    policy_gradient_loss | 0.00501      |
|    std                  | 1            |
|    value_loss           | 25.2         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 200           |
|    ep_rew_mean          | -77.7         |
|    success_rate         | 0             |
| time/                   |               |
|    fps                  | 5             |
|    iterations           | 4             |
|    time_elapsed         | 85            |
|    total_timesteps      | 512           |
| train/                  |               |
|    approx_kl            | 4.3111388e-05 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -6.8          |
|    explained_variance   | -0.0361       |
|    learning_rate        | 0.0001        |
|    loss                 | 65.5          |
|    n_updates            | 15            |
|    policy_gradient_loss | 0.00035       |
|    std                  | 1             |
|    value_loss           | 129           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -60.8        |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 5            |
|    iterations           | 5            |
|    time_elapsed         | 111          |
|    total_timesteps      | 640          |
| train/                  |              |
|    approx_kl            | 0.0008591232 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.07        |
|    explained_variance   | 0.0156       |
|    learning_rate        | 0.0001       |
|    loss                 | 5.97         |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.0112      |
|    std                  | 0.999        |
|    value_loss           | 12.6         |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 200           |
|    ep_rew_mean          | -60.8         |
|    success_rate         | 0             |
| time/                   |               |
|    fps                  | 6             |
|    iterations           | 6             |
|    time_elapsed         | 124           |
|    total_timesteps      | 768           |
| train/                  |               |
|    approx_kl            | 0.00016828533 |
|    clip_fraction        | 0             |
|    clip_range           | 0.2           |
|    entropy_loss         | -0.183        |
|    explained_variance   | 0.00439       |
|    learning_rate        | 0.0001        |
|    loss                 | 1.7           |
|    n_updates            | 25            |
|    policy_gradient_loss | -0.00147      |
|    std                  | 0.999         |
|    value_loss           | 3.15          |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 200          |
|    ep_rew_mean          | -51.5        |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 5            |
|    iterations           | 7            |
|    time_elapsed         | 150          |
|    total_timesteps      | 896          |
